sep=;
File;Cid;Step;Rid;Rule;Subrule;Species;High;Group;Comment;Subcomment;Accept;Severity;GFP;IFP
midi\Melody\test\test-leaps.mid;1;5;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;6;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;6;12;Culmination;multi high;0;High;Repeats;;Multiple culminations in higher voice;0;100;1;0
midi\Melody\test\test-leaps.mid;1;7;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;8;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;8;12;Culmination;multi high;0;High;Repeats;;Multiple culminations in higher voice;0;100;1;0
midi\Melody\test\test-leaps.mid;1;9;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;10;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;10;12;Culmination;multi high;0;High;Repeats;;Multiple culminations in higher voice;0;100;1;0
midi\Melody\test\test-leaps.mid;1;11;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;12;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;12;12;Culmination;multi high;0;High;Repeats;;Multiple culminations in higher voice;0;100;1;0
midi\Melody\test\test-leaps.mid;1;13;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;13;10;Note stagnation;>3 in 7 notes;0;High;Repeats;Same note repeats more than X times within Y adjacent notes;;-1;0;0;1
midi\Melody\test\test-leaps.mid;1;14;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;14;12;Culmination;multi high;0;High;Repeats;;Multiple culminations in higher voice;0;100;1;0
midi\Melody\test\test-leaps.mid;1;15;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;16;12;Culmination;multi high;0;High;Repeats;;Multiple culminations in higher voice;0;100;1;0
midi\Melody\test\test-leaps.mid;1;16;14;3rd to last note;I/III/V;0;High;Border;Only for cantus firmus;;-1;0;1;0
midi\Melody\test\test-leaps.mid;1;17;51;2nd to last note;not VII/II;0;High;Border;Only for cantus firmus;;-1;0;1;0
midi\Melody\test\test-leaps.mid;1;17;71;;;0;High;;;;0;0;0;0
midi\Melody\test\test-leaps.mid;1;18;12;Culmination;multi high;0;High;Repeats;;Multiple culminations in higher voice;0;100;1;0
midi\Melody\test\test-leaps.mid;2;0;38;Voice range;voice <m6;0;High;Range;;Only if voice is at least 8 notes and 4 measures long. Voice range below m6 is acceptable for cantus up to 10 notes;0;0;0;0
midi\Melody\test\test-leaps.mid;2;0;15;No melody development;12 notes <12;0;High;Range;;Averaged melody direction within X notes is less than Y deci-semitones;0;0;0;1
midi\Melody\test\test-leaps.mid;2;6;12;Culmination;multi high;0;High;Repeats;;Multiple culminations in higher voice;0;100;1;0
midi\Melody\test\test-leaps.mid;2;10;12;Culmination;multi high;0;High;Repeats;;Multiple culminations in higher voice;0;100;1;0
midi\Melody\test\test-leaps.mid;2;10;13;2nd to last note;not V/VIII/II;0;High;Border;Only for cantus firmus;;-1;0;1;0
midi\Melody\test\test-leaps.mid;24;0;37;Voice range;cf >M9;0;High;Range;;Cantus firmus voice range;0;70;0;0
midi\Melody\test\test-leaps.mid;24;0;178;Ascending leap;maj7;0;High;Leaps;;;0;100;1;0
midi\Melody\test\test-leaps.mid;24;0;68;Skipped notes;>1;0;High;Range;Skipped notes that do not appear within this voice;;-1;0;1;0
midi\Melody\test\test-leaps.mid;24;0;69;Skipped notes;>1 joined;0;High;Range;Skipped notes that do not appear within this voice;;0;0;1;0
midi\Melody\test\test-leaps.mid;24;0;143;Close + 2skip turns around leap;>5th;0;High;Turns around leap;There is immediate melody direction change before leap, but after leap melody direction changes only after two notes, which go in the same direction as leap;;0;100;1;0
midi\Melody\test\test-leaps.mid;24;1;180;Ascending leap;>8th;0;High;Leaps;;;0;100;1;0
midi\Melody\test\test-leaps.mid;24;1;66;1skip + 1skip turns around leap;>5th;0;High;Turns around leap;There is one note going in the same direction before and after leap;;0;100;1;0
midi\Melody\test\test-leaps.mid;24;2;177;Ascending leap;m7;0;High;Leaps;;;0;30;1;0
midi\Melody\test\test-leaps.mid;24;2;135;>1skip + close turns around leap;>5th;0;High;Turns around leap;There is immediate melody direction change after leap, but before leap melody direction changes after more than one note, which go in the same direction as leap;;0;60;1;0
midi\Melody\test\test-leaps.mid;24;8;14;3rd to last note;I/III/V;0;High;Border;Only for cantus firmus;;-1;0;1;0
