sep=;
File;Cid;Step;Rid;Rule;Subrule;Species;High;Group;Comment;Subcomment;Accept;Severity;GFP;IFP
midi\Counterpoint\test\test-tritone.mid;10;26;267;Last note;not whole;5;Low;Rhythm;;;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;10;26;252;Last note;1/4;5;Low;Rhythm;;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;11;10;488;Parallel 8ves: < 4/4 apart;stepwize;5;Low;Counterpoint;Two same non-close perfect consonances in neighboring measures less than 4 notes apart;One of intervals is approached and left by stepwize movement ;1;0;0;0
midi\Counterpoint\test\test-tritone.mid;11;12;362;Tritone: adjacent accented;on climax;5;Low;sp2-5 Tritone;Melodic tritone within measure, last note is long or repeated;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;11;12;361;Tritone: adjacent accented;unresolved;5;Low;sp2-5 Tritone;Melodic tritone within measure, last note is long or repeated;;0;100;1;0
midi\Counterpoint\test\test-tritone.mid;12;0;67;Skipped notes;1;5;Low;Range;Skipped notes that do not appear within this voice;;-1;0;1;0
midi\Counterpoint\test\test-tritone.mid;12;12;369;Tritone: adjacent;unresolved;5;Low;sp2-5 Tritone;Melodic tritone within measure, framed by two melody direction changes;;0;60;0;0
midi\Counterpoint\test\test-tritone.mid;12;12;370;Tritone: adjacent;on climax;5;Low;sp2-5 Tritone;Melodic tritone within measure, framed by two melody direction changes;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;12;12;58;Leap back;overflow;5;Low;Turns around leap;;After leap there is an immediate returning leap in the opposite direction. This returning leap is longer than initial leap;-1;0;1;0
midi\Counterpoint\test\test-tritone.mid;12;16;318;Penultimate measure;isolated LT;5;Low;Counterpoint;;There is another harmony between leading tone and tonic note in penultimate measure;1;30;1;0
midi\Counterpoint\test\test-tritone.mid;12;18;322;Penultimate measure;T/S after D;5;Low;Counterpoint;;Tonic or subdominant chord goes after dominant chord in penultimate measure;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;13;10;488;Parallel 8ves: < 4/4 apart;stepwize;5;Low;Counterpoint;Two same non-close perfect consonances in neighboring measures less than 4 notes apart;One of intervals is approached and left by stepwize movement ;1;0;0;0
midi\Counterpoint\test\test-tritone.mid;13;12;368;Tritone: adjacent;resolved;5;Low;sp2-5 Tritone;Melodic tritone within measure, framed by two melody direction changes;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;13;12;370;Tritone: adjacent;on climax;5;Low;sp2-5 Tritone;Melodic tritone within measure, framed by two melody direction changes;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;13;16;318;Penultimate measure;isolated LT;5;Low;Counterpoint;;There is another harmony between leading tone and tonic note in penultimate measure;1;30;1;0
midi\Counterpoint\test\test-tritone.mid;13;18;322;Penultimate measure;T/S after D;5;Low;Counterpoint;;Tonic or subdominant chord goes after dominant chord in penultimate measure;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;15;0;68;Skipped notes;>1;5;Low;Range;Skipped notes that do not appear within this voice;;-1;0;1;0
midi\Counterpoint\test\test-tritone.mid;15;8;361;Tritone: adjacent accented;unresolved;5;Low;sp2-5 Tritone;Melodic tritone within measure, last note is long or repeated;;0;100;1;0
