Too wide range; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Long smooth; 384; 0; 100; 8; 0; 0; 4; 0; 187; 0; 201; 228; 2; 64; 0; 73; 6; 37; 22; 22; 0; 384; 28; 202; 316; 82; 183; 25; 16; 18; 7; 80; 3; 0; 8; 2; 0; 6; 4; 36; 
Long line; 4920; 0; 3792; 24; 62; 21; 2641; 0; 4791; 92; 2522; 4815; 2; 2125; 108; 4461; 733; 1230; 3; 3; 0; 28; 4920; 947; 2681; 2892; 3690; 1084; 844; 573; 756; 2380; 1410; 4564; 23; 1163; 0; 355; 135; 464; 
Close repeat; 4021; 0; 1913; 280; 0; 201; 1738; 0; 3319; 701; 2522; 2897; 14; 589; 53; 1994; 157; 1426; 49; 49; 0; 202; 947; 4021; 3203; 1337; 2185; 1104; 671; 582; 538; 1384; 827; 2119; 143; 219; 0; 144; 61; 238; 
Stagnation; 17109; 0; 10054; 2282; 48; 1483; 7143; 0; 14540; 5042; 9261; 12380; 58; 6190; 249; 10444; 1479; 3510; 329; 329; 0; 316; 2681; 3203; 17109; 6531; 9439; 2426; 1377; 1349; 1126; 5738; 2670; 9530; 816; 1576; 0; 894; 478; 1346; 
Multiple culminations; 16043; 0; 9275; 1877; 116; 1980; 3768; 0; 15559; 4426; 7405; 12574; 56; 6630; 186; 11796; 1473; 3137; 172; 172; 0; 82; 2892; 1337; 6531; 16043; 9661; 2643; 1137; 1007; 794; 11627; 2790; 10221; 1332; 2845; 0; 1106; 690; 1013; 
2nd to last not D; 18790; 0; 13549; 2045; 97; 2041; 6442; 0; 17157; 4987; 9232; 18790; 31; 7910; 194; 12724; 2076; 3457; 252; 252; 0; 183; 3690; 2185; 9439; 9661; 18790; 2863; 1229; 1091; 682; 8837; 2288; 11929; 121; 2707; 0; 1117; 554; 1432; 
4 letters in a row; 4796; 0; 3334; 522; 48; 258; 2298; 0; 4350; 828; 2415; 3532; 0; 313; 33; 3552; 691; 1242; 5; 5; 0; 25; 1084; 1104; 2426; 2643; 2863; 4796; 0; 345; 316; 2180; 875; 3722; 286; 887; 0; 108; 17; 344; 
>4 letters in a row; 1970; 0; 1477; 173; 9; 74; 1176; 0; 1738; 214; 1099; 1483; 0; 0; 25; 1501; 288; 538; 0; 0; 0; 16; 844; 671; 1377; 1137; 1229; 0; 1970; 215; 157; 953; 457; 1665; 110; 425; 0; 0; 0; 172; 
5 step miss; 1978; 0; 1478; 184; 24; 112; 1112; 0; 1802; 283; 1254; 1528; 12; 821; 26; 1421; 317; 29; 0; 0; 0; 18; 573; 582; 1349; 1007; 1091; 345; 215; 1978; 5; 823; 489; 1577; 44; 287; 0; 145; 23; 231; 
>5 step miss; 1467; 0; 1194; 217; 15; 33; 877; 0; 1423; 194; 1076; 1122; 0; 560; 29; 1142; 179; 26; 0; 0; 0; 7; 756; 538; 1126; 794; 682; 316; 157; 5; 1467; 656; 354; 1208; 28; 291; 0; 0; 0; 228; 
Late culmination; 13323; 0; 7736; 1468; 62; 1801; 3272; 0; 13053; 3670; 5557; 11226; 67; 5611; 132; 9708; 1188; 2580; 82; 82; 0; 80; 2380; 1384; 5738; 11627; 8837; 2180; 953; 823; 656; 13323; 2345; 8459; 1225; 2855; 0; 879; 610; 658; 
Leap back >4th; 4448; 0; 2075; 269; 9; 389; 661; 0; 4392; 815; 2848; 3621; 8; 1857; 64; 3488; 150; 1146; 39; 39; 0; 3; 1410; 827; 2670; 2790; 2288; 875; 457; 489; 354; 2345; 4448; 3573; 242; 250; 0; 422; 162; 297; 
Many leaps+; 19421; 0; 13423; 2168; 179; 1867; 7930; 0; 18363; 0; 9124; 15589; 28; 8574; 235; 16454; 2654; 4696; 123; 123; 0; 0; 4564; 2119; 9530; 10221; 11929; 3722; 1665; 1577; 1208; 8459; 3573; 19421; 944; 3179; 0; 1522; 666; 1681; 
Leap unresolved; 2206; 0; 709; 148; 3; 248; 487; 0; 2190; 954; 1259; 149; 4; 831; 21; 1400; 153; 280; 17; 17; 0; 8; 23; 143; 816; 1332; 121; 286; 110; 44; 28; 1225; 242; 944; 2206; 174; 0; 30; 2; 8; 
Leap chain; 3727; 0; 2872; 240; 0; 366; 1225; 0; 3684; 518; 1047; 3131; 0; 1762; 60; 2803; 211; 894; 13; 13; 0; 2; 1163; 219; 1576; 2845; 2707; 887; 425; 287; 291; 2855; 250; 3179; 174; 3727; 0; 108; 64; 116; 
Late >5th resolution; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Tritone unresolved; 2203; 0; 1020; 223; 13; 287; 340; 0; 2110; 547; 487; 1319; 6; 571; 0; 1925; 128; 683; 8; 8; 0; 6; 355; 144; 894; 1106; 1117; 108; 0; 145; 0; 879; 422; 1522; 30; 108; 0; 2203; 921; 786; 
Tritone culmination; 970; 0; 440; 88; 2; 154; 163; 0; 936; 219; 162; 554; 49; 310; 0; 840; 48; 231; 4; 4; 0; 4; 135; 61; 478; 690; 554; 17; 0; 23; 0; 610; 162; 666; 2; 64; 0; 921; 970; 336; 
3rd to last is leading; 2491; 0; 1410; 229; 8; 248; 674; 0; 1972; 582; 0; 1880; 8; 854; 0; 2029; 187; 758; 28; 28; 0; 36; 464; 238; 1346; 1013; 1432; 344; 172; 231; 228; 658; 297; 1681; 8; 116; 0; 786; 336; 2491; 
Flag; Total; Strict; Prepared unfilled 3rd; Prepared unresolved 3rd; Two 3rds after 6/8; Late <6th resolution; Leap back <5th; Seventh; Leap pre-late fill; Many leaps; 3rd to last is CEG; Last leap; Tritone resolved; 3 letters in a row; Unfilled leap; Leap to leap resolution; Two 3rds; 4 step miss; Outstanding repeat; Outstanding repeat; Too wide range; Long smooth; Long line; Close repeat; Stagnation; Multiple culminations; 2nd to last not D; 4 letters in a row; >4 letters in a row; 5 step miss; >5 step miss; Late culmination; Leap back >4th; Many leaps+; Leap unresolved; Leap chain; Late >5th resolution; Tritone unresolved; Tritone culmination; 3rd to last is leading; 
