sep=;
File;Cid;Step;Rid;Rule;Subrule;Species;High;Group;Comment;Subcomment;Accept;Severity;GFP;IFP;Log
midi\Melody\test\test-leap-fill.mid;5;0;67;Skipped notes;1;0;High;Range;Skipped notes that do not appear within this voice;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;5;7;14;3rd to last note;I/III/V;0;High;Border;Only for cantus firmus;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;6;0;68;Skipped notes;>1;0;High;Range;Skipped notes that do not appear within this voice;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;6;0;142;Close + 2skip turns around leap;5th;0;High;Turns around leap;There is immediate melody direction change before leap, but after leap melody direction changes only after two notes, which go in the same direction as leap;;0;60;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;6;6;176;Ascending leap;maj6;0;High;Leaps;;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;6;6;135;>1skip + close turns around leap;>5th;0;High;Turns around leap;There is immediate melody direction change after leap, but before leap melody direction changes after more than one note, which go in the same direction as leap;;0;60;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;6;0;503;Consecutive unidir. leaps;2 x 3rds;0;High;Leaps;;;0;60;1;0;2018-04-23 22:21 Global false positive
midi\Melody\test\test-leap-fill.mid;20;0;33;First note not tonic;Other;0;High;Border;Only for cantus firmus;Any note except I in lower voice. Any note except I, III, V in higher voice.;0;100;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;20;2;22;Leap back;>6th;0;High;Turns around leap;;After leap there is an immediate returning leap in the opposite direction. This returning leap is longer than 6th;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;20;2;58;Leap back;overflow;0;High;Turns around leap;;After leap there is an immediate returning leap in the opposite direction. This returning leap is longer than initial leap;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;20;2;185;Descending leap;8th;0;High;Leaps;;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;20;2;131;Close + 1skip turns around leap;>5th;0;High;Turns around leap;There is immediate melody direction change before leap, but after leap melody direction changes only after one note, which goes in the same direction as leap;Not good for 8va;0;35;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;20;11;14;3rd to last note;I/III/V;0;High;Border;Only for cantus firmus;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;20;13;50;Last note;not tonic;0;High;Border;Only for cantus firmus;;0;100;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;20;13;12;Culmination;multi high;0;High;Repeats;;Multiple culminations in higher voice;0;100;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;21;1;8;Leap back;<=6th;0;High;Turns around leap;;After leap there is an immediate returning leap in the opposite direction. This returning leap is a 6th or shorter;-1;0;0;0;Imported from midi lyrics
midi\Melody\test\test-leap-fill.mid;21;6;14;3rd to last note;I/III/V;0;High;Border;Only for cantus firmus;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;2;0;67;Skipped notes;1;0;Low;Range;Skipped notes that do not appear within this voice;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;2;1;31;Adjacent tritone;unresolved;0;Low;CF/sp1 Tritone;Melodic adjacent tritone;;0;60;0;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;2;1;32;Adjacent tritone;on climax;0;Low;CF/sp1 Tritone;Melodic adjacent tritone;Highest note in higher voice within 13 notes or 8 measures - which is smaller;0;0;1;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;2;7;13;2nd to last note;not V/VIII/II;0;Low;Border;Only for cantus firmus;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;2;7;58;Leap back;overflow;0;Low;Turns around leap;;After leap there is an immediate returning leap in the opposite direction. This returning leap is longer than initial leap;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;3;1;2;Adjacent tritone;resolved;0;Low;CF/sp1 Tritone;Melodic adjacent tritone;Search 4 quarters for resolution;0;0;1;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;3;1;32;Adjacent tritone;on climax;0;Low;CF/sp1 Tritone;Melodic adjacent tritone;Highest note in higher voice within 13 notes or 8 measures - which is smaller;0;0;1;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;3;6;34;3rd to last note;leading tone;0;Low;Border;Only for cantus firmus;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;4;0;33;First note not tonic;Other;0;Low;Border;Only for cantus firmus;Any note except I in lower voice. Any note except I, III, V in higher voice.;0;100;1;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;4;1;373;Compound tritone framed;on climax;0;Low;CF/sp1 Tritone;Tritone within measure with one intermediate note, framed by two melody direction changes or leaps;;0;0;0;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;4;1;371;Compound tritone framed;resolved;0;Low;CF/sp1 Tritone;Tritone within measure with one intermediate note, framed by two melody direction changes or leaps;;0;0;0;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;4;7;34;3rd to last note;leading tone;0;Low;Border;Only for cantus firmus;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;4;1;503;Consecutive unidir. leaps;2 x 3rds;0;Low;Leaps;;;0;60;1;0;2018-04-23 23:16 Global false positive
midi\Melody\test\test-tritone.mid;8;0;175;Ascending leap;m6;0;Low;Leaps;;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;8;0;67;Skipped notes;1;0;Low;Range;Skipped notes that do not appear within this voice;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;8;0;33;First note not tonic;Other;0;Low;Border;Only for cantus firmus;Any note except I in lower voice. Any note except I, III, V in higher voice.;0;100;1;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;8;1;373;Compound tritone framed;on climax;0;Low;CF/sp1 Tritone;Tritone within measure with one intermediate note, framed by two melody direction changes or leaps;;0;0;0;0;Imported from midi lyrics
