Set;Rid;Species;Voices;Severity;Class;Group;Name;SubName;Accept;Comment;SubComment;Viztype;VI;VC;VH;VS;VT;FQ;CF;GF;IF;DEU;MEI;ER;UE;R
1;415;35;;0;Melody;Change of melodic direction around leap;No change of direction before and after the leap: neigh + neigh;4th;1;Before and after leap there is neighbor tone, then ending leap note repeats and then there is movement inside leap.;;5;;1;;;;35;0;;;;;507;;
1;416;35;;0;Melody;Change of melodic direction around leap;No change of direction before and after the leap: neigh + neigh;5th;1;Before and after leap there is neighbor tone, then ending leap note repeats and then there is movement inside leap.;;5;;1;;;;23;0;;;;;508;;
1;417;35;;0;Melody;Change of melodic direction around leap;No change of direction before and after the leap: neigh + neigh;>5th;1;Before and after leap there is neighbor tone, then ending leap note repeats and then there is movement inside leap.;;5;;1;;;;11;4;;;;;509;;
1;476;;;50;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: 1skip + close;3rd;0;There is immediate melody direction change after leap, but before leap melody direction changes after one note, which goes in the same direction as leap;;5;;1;;;;;;1;;;;;;
1;477;;;50;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: 1skip + close;4th;0;There is immediate melody direction change after leap, but before leap melody direction changes after one note, which goes in the same direction as leap;;5;;1;;;;;;1;;;;;;
1;478;;;100;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: 1skip + close;5th;0;There is immediate melody direction change after leap, but before leap melody direction changes after one note, which goes in the same direction as leap;;5;;1;;;;;;1;;;;;;
1;479;;;100;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: 1skip + close;>5th;0;There is immediate melody direction change after leap, but before leap melody direction changes after one note, which goes in the same direction as leap;;5;;1;;;;;;1;;;;;;
1;25;;;50;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: >1skip + close;3rd;0;There is immediate melody direction change after leap, but before leap melody direction changes after more than one note, which go in the same direction as leap;;5;;1;;;;;;1;;;;;;
1;26;;;50;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: >1skip + close;4th;0;There is immediate melody direction change after leap, but before leap melody direction changes after more than one note, which go in the same direction as leap;;5;;1;;;;;;1;;;;;;
1;27;;;100;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: >1skip + close;5th;0;There is immediate melody direction change after leap, but before leap melody direction changes after more than one note, which go in the same direction as leap;;5;;1;;;;;;1;;;;;;
1;28;;;100;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: >1skip + close;>5th;0;There is immediate melody direction change after leap, but before leap melody direction changes after more than one note, which go in the same direction as leap;;5;;1;;;;;;1;;;;;;
1;460;;;50;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: 1skip + 1skip;3rd;0;Turns around leap on measure border. There is one note going in the same direction before and after leap;;5;;1;;;;0;0;1;;;;476;;
1;461;;;50;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: 1skip + 1skip;4th;0;Turns around leap on measure border. There is one note going in the same direction before and after leap;;5;;1;;;;0;0;1;;;;477;;
1;462;;;100;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: 1skip + 1skip;5th;0;Turns around leap on measure border. There is one note going in the same direction before and after leap;;5;;1;;;;0;0;1;;;;478;;
1;463;;;100;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: 1skip + 1skip;>5th;0;Turns around leap on measure border. There is one note going in the same direction before and after leap;;5;;1;;;;1;1;1;;;;479;;
1;464;;;50;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: 1skip + >1skip;3rd;0;Turns around leap on measure border. There is one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;1;1;1;;;;460,476;;
1;465;;;50;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: 1skip + >1skip;4th;0;Turns around leap on measure border. There is one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;1;0;1;;;;461,477;;
1;466;;;100;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: 1skip + >1skip;5th;0;Turns around leap on measure border. There is one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;0;0;1;;;;462,478;;
1;467;;;100;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: 1skip + >1skip;>5th;0;Turns around leap on measure border. There is one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;0;0;1;;;;463,479;;
1;468;;;50;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: >1skip + 1skip;3rd;0;Turns around leap on measure border. There is more than one note going in the same direction before leap and one note going in the same direction after leap;;5;;1;;;;6;3;1;;;;25;;
1;469;;;50;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: >1skip + 1skip;4th;0;Turns around leap on measure border. There is more than one note going in the same direction before leap and one note going in the same direction after leap;;5;;1;;;;0;0;1;;;;26;;
1;470;;;100;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: >1skip + 1skip;5th;0;Turns around leap on measure border. There is more than one note going in the same direction before leap and one note going in the same direction after leap;;5;;1;;;;1;1;1;;;;27;;
1;471;;;100;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: >1skip + 1skip;>5th;0;Turns around leap on measure border. There is more than one note going in the same direction before leap and one note going in the same direction after leap;;5;;1;;;;0;0;1;;;;28;;
1;472;;;50;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: >1skip + >1skip;3rd;0;Turns around leap on measure border. There is more than one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;1;0;1;;;;25,468;;
1;473;;;50;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: >1skip + >1skip;4th;0;Turns around leap on measure border. There is more than one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;0;0;1;;;;26,469;;
1;474;;;100;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: >1skip + >1skip;5th;0;Turns around leap on measure border. There is more than one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;0;0;1;;;;27,470;;
1;475;;;100;Melody;Change of melodic direction around leap;No change of direction before the leap between measures: >1skip + >1skip;>5th;0;Turns around leap on measure border. There is more than one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;0;0;1;;;;28,471;;
1;8;;;0;Melody;Change of melodic direction around leap;Leap back;<=6th;-1;;After leap there is an immediate returning leap in the opposite direction. This returning leap is a 6th or shorter;5;;1;;;;491;1;;;;;;;
1;22;;;0;Melody;Change of melodic direction around leap;Leap back;>6th;-1;;After leap there is an immediate returning leap in the opposite direction. This returning leap is longer than 6th;5;;1;;;;24;12;1;;;;;;
1;58;;;0;Melody;Change of melodic direction around leap;Leap back;overflow;-1;;After leap there is an immediate returning leap in the opposite direction. This returning leap is longer than initial leap;5;;1;;;;175;33;1;;;;;;
1;175;;;0;Melody;Leaps;Non-permitted melodic interval: ascending;:m6;-1;;;5;;1;;;;64;7;1;;;;;;
1;176;;;0;Melody;Leaps;Non-permitted melodic interval: ascending;:maj6;-1;;;5;;1;;;;71;6;1;;;;;;
1;177;;;50;Melody;Leaps;Non-permitted melodic interval: ascending;:m7;0;;;5;;1;;;;7;4;1;;;;;;
1;178;;;100;Melody;Leaps;Non-permitted melodic interval: ascending;:maj7;0;;;5;;1;;;;6;4;1;;;;;;
1;179;;;0;Melody;Leaps;Non-permitted melodic interval: ascending;:8ve;-1;;;5;;1;;;;33;6;1;;;;;;
1;180;;;100;Melody;Leaps;Non-permitted melodic interval: ascending;:greater than 8ve;0;;;5;;1;;;;6;6;1;;;;;;
1;181;;;0;Melody;Leaps;Non-permitted melodic interval: descending;:m6;-1;;;5;;1;;;;53;8;1;;;;;;
1;182;;;0;Melody;Leaps;Non-permitted melodic interval: descending;:maj6;-1;;;5;;1;;;;36;5;1;;;;;;
1;183;;;50;Melody;Leaps;Non-permitted melodic interval: descending;:m7;0;;;5;;1;;;;6;4;1;;;;;;
1;184;;;100;Melody;Leaps;Non-permitted melodic interval: descending;:maj7;0;;;5;;1;;;;3;1;1;;;;;;
1;185;;;0;Melody;Leaps;Non-permitted melodic interval: descending;:8ve;-1;;;5;;1;;;;31;6;1;;;;;;
1;186;;;100;Melody;Leaps;Non-permitted melodic interval: descending;:greater than 8ve;0;;;5;;1;;;;4;4;1;;;;;;
1;493;0;;0;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>7 leaps;0;;;10;;1;;;Many leaps;10;0;;;;1;;;
1;494;0;;0;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>30 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;11;0;;;;1;;;
1;495;0;;50;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>8 leaps;0;;;10;;1;;;Many leaps;0;0;;;;1;493;;
1;496;0;;50;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>36 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;0;0;;;;1;494;;
1;493;1;;0;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>6 leaps;0;;;10;;1;;;Many leaps;10;0;;;;1;;;
1;494;1;;0;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>30 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;11;0;;;;1;;;
1;495;1;;50;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>8 leaps;0;;;10;;1;;;Many leaps;0;0;;;;1;493;;
1;496;1;;50;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>36 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;0;0;;;;1;494;;
1;493;2;;50;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>6 leaps;0;;;10;;1;;;Many leaps;10;0;;;;1;;;
1;494;2;;50;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>22 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;11;0;;;;1;;;
1;495;2;;100;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>7 leaps;0;;;10;;1;;;Many leaps;0;0;;;;1;493;;
1;496;2;;100;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>30 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;0;0;;;;1;494;;
1;493;3;;50;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>6 leaps;0;;;10;;1;;;Many leaps;10;0;;;;1;;;
1;494;3;;50;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>22 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;11;0;;;;1;;;
1;495;3;;100;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>7 leaps;0;;;10;;1;;;Many leaps;0;0;;;;1;493;;
1;496;3;;100;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>30 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;0;0;;;;1;494;;
1;493;4;;0;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>7 leaps;0;;;10;;1;;;Many leaps;10;0;;;;1;;;
1;494;4;;0;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>30 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;11;0;;;;1;;;
1;495;4;;50;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>8 leaps;0;;;10;;1;;;Many leaps;0;0;;;;1;493;;
1;496;4;;50;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>36 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;0;0;;;;1;494;;
1;493;5;;0;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>7 leaps;0;;;10;;1;;;Many leaps;10;0;;;;1;;;
1;494;5;;0;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>30 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;11;0;;;;1;;;
1;495;5;;50;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>8 leaps;0;;;10;;1;;;Many leaps;0;0;;;;1;493;;
1;496;5;;50;Melody;Leaps;Abuse of disjunct motion: within 9 notes;>36 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;0;0;;;;1;494;;
1;497;0;;0;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>9 leaps;0;;;10;;1;;;Many leaps;6;0;;;;1;;;
1;498;0;;0;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>40 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;5;0;;;;1;;;
1;499;0;;50;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>10 leaps;0;;;10;;1;;;Many leaps;0;0;;;;1;497;;
1;500;0;;50;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>46 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;0;0;;;;1;498;;
1;497;1;;0;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>8 leaps;0;;;10;;1;;;Many leaps;6;0;;;;1;;;
1;498;1;;0;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>40 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;5;0;;;;1;;;
1;499;1;;50;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>10 leaps;0;;;10;;1;;;Many leaps;0;0;;;;1;497;;
1;500;1;;50;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>46 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;0;0;;;;1;498;;
1;497;2;;50;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>8 leaps;0;;;10;;1;;;Many leaps;6;0;;;;1;;;
1;498;2;;50;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>32 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;5;0;;;;1;;;
1;499;2;;100;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>9 leaps;0;;;10;;1;;;Many leaps;0;0;;;;1;497;;
1;500;2;;100;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>34 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;0;0;;;;1;498;;
1;497;3;;50;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>8 leaps;0;;;10;;1;;;Many leaps;6;0;;;;1;;;
1;498;3;;50;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>32 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;5;0;;;;1;;;
1;499;3;;100;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>9 leaps;0;;;10;;1;;;Many leaps;0;0;;;;1;497;;
1;500;3;;100;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>34 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;0;0;;;;1;498;;
1;497;4;;0;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>9 leaps;0;;;10;;1;;;Many leaps;6;0;;;;1;;;
1;498;4;;0;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>40 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;5;0;;;;1;;;
1;499;4;;50;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>10 leaps;0;;;10;;1;;;Many leaps;0;0;;;;1;497;;
1;500;4;;50;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>46 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;0;0;;;;1;498;;
1;497;5;;0;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>9 leaps;0;;;10;;1;;;Many leaps;6;0;;;;1;;;
1;498;5;;0;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>40 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;5;0;;;;1;;;
1;499;5;;50;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>10 leaps;0;;;10;;1;;;Many leaps;0;0;;;;1;497;;
1;500;5;;50;Melody;Leaps;Abuse of disjunct motion: within 14 notes;>46 leaped;0;;Total leaps length more than AA notes:  3 is third, 4 is fourth and so on;10;;1;;;Many leaps;0;0;;;;1;498;;
1;501;120;;50;Melody;Leaps;Consecutive leaps;3;0;0x3rd ignored;;10;;1;;;Consecutive leaps;28;0;;;;1;;;
1;502;120;;100;Melody;Leaps;Consecutive leaps;more than 3;0;0x3rd ignored;;10;;1;;;Consecutive leaps;8;0;;;;1;501;;
1;501;34;;50;Melody;Leaps;Consecutive leaps;3;0;1x3rd ignored;;10;;1;;;Consecutive leaps;28;0;;;;1;;;
1;502;34;;100;Melody;Leaps;Consecutive leaps;more than 3;0;1x3rd ignored;;10;;1;;;Consecutive leaps;8;0;;;;1;501;;
1;501;5;;50;Melody;Leaps;Consecutive leaps;4;0;1x3rd ignored;;10;;1;;;Consecutive leaps;28;0;;;;1;;;
1;502;5;;100;Melody;Leaps;Consecutive leaps;more than 4;0;1x3rd ignored;;10;;1;;;Consecutive leaps;8;0;;;;1;501;;
1;503;1230;;50;Melody;Leaps;Consecutive unidirectional leaps;Two 3rds;0;;;10;;1;;;!srn!;92;30;1;;;;;;
1;504;1230;;100;Melody;Leaps;Consecutive unidirectional leaps;Three 3rds;0;;;10;;1;;;!srn!;10;0;1;;;;503;;
1;505;1230;;100;Melody;Leaps;Consecutive unidirectional leaps;Two >3rds;0;;Two consecutive unidirectional leaps, while one of them is longer than 3rd;10;;1;;;Unidir. leaps;64;34;1;;;;;;
1;503;45;;0;Melody;Leaps;Consecutive unidirectional leaps;Two 3rds;0;;;10;;1;;;!srn!;92;30;1;;;;;;
1;504;45;;100;Melody;Leaps;Consecutive unidirectional leaps;Three 3rds;0;;;10;;1;;;!srn!;10;0;1;;;;503;;
1;505;45;;100;Melody;Leaps;Consecutive unidirectional leaps;Two >3rds;0;;Two consecutive unidirectional leaps, while one of them is longer than 3rd;10;;1;;;Unidir. leaps;64;34;1;;;;;;
1;302;0;;0;Melody;Stepwise motion;Abuse of stepwise motion;>7 in any direction;0;There are more than AA notes going stepwize in the same direction in this cantus firmus;Stepwise motion more than AA notes in any direction in cantus;10;;1;;;Abuse of stepwise motion;15;0;;;;;;;
1;302;14;;50;Melody;Stepwise motion;Abuse of stepwise motion;>10 in any direction;0;;Stepwise motion more than AA notes in any direction;10;;1;;;Abuse of stepwise motion;15;0;;;;;;;
1;302;2;;50;Melody;Stepwise motion;Abuse of stepwise motion;>12 in any direction;0;;Stepwise motion more than AA notes in any direction;10;;1;;;Abuse of stepwise motion;15;0;;;;;;;
1;302;35;;50;Melody;Stepwise motion;Abuse of stepwise motion;>14 in any direction;0;;Stepwise motion more than AA notes in any direction;10;;1;;;Abuse of stepwise motion;15;0;;;;;;;
1;303;0;;0;Melody;Stepwise motion;Abuse of unidirectional stepwise motion;>4 in one direction;0;;Stepwise motion more than AA notes in one direction in cantus;10;;1;;;Abuse of stepwise motion;6;0;;;;;;;
1;303;14;;50;Melody;Stepwise motion;Abuse of unidirectional stepwise motion;>7 in one direction;0;;Stepwise motion more than AA notes in one direction;10;;1;;;Abuse of stepwise motion;6;0;;;;;;;
1;303;2;;50;Melody;Stepwise motion;Abuse of unidirectional stepwise motion;>7 in one direction;0;;Stepwise motion more than AA notes in one direction;10;;1;;;Abuse of stepwise motion;6;0;;;;;;;
1;303;35;;50;Melody;Stepwise motion;Abuse of unidirectional stepwise motion;>7 in one direction;0;;Stepwise motion more than AA notes in one direction;10;;1;;;Abuse of stepwise motion;6;0;;;;;;;
1;402;104;;100;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate;uniform;0;Two adjacent notes are immediately repeated;Length of first three notes is the same;3;;1;;;;97;41;1;;;;;;
1;403;104;;50;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate;same rhythm;0;Two adjacent notes are immediately repeated;Length of first and third notes is the same;3;;1;;;;12;4;1;;;;;;
1;404;104;;0;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate;any rhythm;1;Two adjacent notes are immediately repeated;;3;;1;;;;35;12;1;;;;;;
1;402;3;;0;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate;uniform;0;Two adjacent notes are immediately repeated;Length of first three notes is the same;3;;1;;;;97;41;1;;;;;;
1;403;3;;0;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate;same rhythm;0;Two adjacent notes are immediately repeated;Length of first and third notes is the same;3;;1;;;;12;4;1;;;;;;
1;404;3;;0;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate;any rhythm;1;Two adjacent notes are immediately repeated;;3;;1;;;;35;12;1;;;;;;
1;402;2;;50;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate;uniform;0;Two adjacent notes are immediately repeated;Length of first three notes is the same;3;;1;;;;97;41;1;;;;;;
1;403;2;;50;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate;same rhythm;0;Two adjacent notes are immediately repeated;Length of first and third notes is the same;3;;1;;;;12;4;1;;;;;;
1;404;2;;0;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate;any rhythm;1;Two adjacent notes are immediately repeated;;3;;1;;;;35;12;1;;;;;;
1;411;23;;50;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate IM;uniform;0;Two adjacent notes are immediately repeated inside one measure;Length of first three notes is the same;3;;1;;;;7;4;1;;;;;;
1;412;23;;50;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate IM;same rhythm;0;Two adjacent notes are immediately repeated inside one measure;Length of first and third notes is the same;3;;1;;;;0;0;1;;;;;;
1;413;23;;0;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate IM;any rhythm;0;Two adjacent notes are immediately repeated inside one measure;;3;;1;;;;2;1;1;;999;;;;
1;402;5;;50;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate;uniform;0;Two adjacent notes are immediately repeated;Length of first three notes is the same;3;;1;;;;97;41;1;;;;;;
1;403;5;;0;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate;same rhythm;0;Two adjacent notes are immediately repeated;Length of first and third notes is the same;3;;1;;;;12;4;1;;;;;;
1;404;5;;0;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate;any rhythm;1;Two adjacent notes are immediately repeated;;3;;1;;;;35;12;1;;;;;;
1;411;5;;50;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate IM;uniform;0;Two adjacent notes are immediately repeated inside one measure;Length of first three notes is the same;3;;1;;;;7;4;1;;;;;;
1;412;5;;50;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate IM;same rhythm;0;Two adjacent notes are immediately repeated inside one measure;Length of first and third notes is the same;3;;1;;;;0;0;1;;;;;;
1;413;5;;0;Melody;Melodic repeats;Repetition - 2 notes are repeated: immediate IM;any rhythm;0;Two adjacent notes are immediately repeated inside one measure;;3;;1;;;;2;1;1;;999;;;;
1;311;;;0;Melody;Melodic repeats;Repetition - 3 notes are repeated 2 times;adjacent;0;Repeat with the same rhythm (last note length is ignored);;3;;1;;;;;;;;;;;;
1;405;;;0;Melody;Melodic repeats;Repetition - 3 notes are repeated 2 times;symmetric;0;Repeat with the same rhythm (last note length is ignored);Non-adjacent repeat in sp2-5;3;;1;;;;;;;;;;;;
1;313;;;50;Melody;Melodic repeats;Repetition - 3 notes are repeated 3 times;adjacent;0;Repeat with the same rhythm (last note length is ignored);;3;;1;;;;;;;;;;311,405;;
1;407;;;50;Melody;Melodic repeats;Repetition - 3 notes are repeated 3 times;symmetric;0;Repeat with the same rhythm (last note length is ignored);Non-adjacent repeat in sp2-5;3;;1;;;;;;;;;;311,405;;
1;312;;;0;Melody;Melodic repeats;Repetition - 4 notes are repeated 2 times;adjacent;0;Repeat with the same rhythm (last note length is ignored);;3;;1;;;;;;;;;;;;
1;406;;;0;Melody;Melodic repeats;Repetition - 4 notes are repeated 2 times;symmetric;0;Repeat with the same rhythm (last note length is ignored);Non-adjacent repeat in sp2-5;3;;1;;;;;;;;;;;;
1;314;;;50;Melody;Melodic repeats;Repetition - 4 notes are repeated 3 times;adjacent;0;Repeat with the same rhythm (last note length is ignored);;3;;1;;;;;;;;;;312,406;;
1;408;;;50;Melody;Melodic repeats;Repetition - 4 notes are repeated 3 times;symmetric;0;Repeat with the same rhythm (last note length is ignored);Non-adjacent repeat in sp2-5;3;;1;;;;;;;;;;312,406;;
1;193;;;0;Melody;Melodic repeats;Melodic climax;early 50%;-1;;Only for upper voice;;;1;;;;192;0;;;;1;;;
1;79;;;0;Melody;Melodic repeats;Melodic climax;early <5;-1;;Only for upper voice;;;1;;;;94;0;;;;1;;;
1;78;;;0;Melody;Melodic repeats;Melodic climax;early <3;-1;;Only for upper voice;;;1;;;;71;1;;;;1;;;
1;21;;;0;Melody;Melodic repeats;Melodic climax;late 3;-1;;Only for upper voice;;;1;;;;198;1;;;;1;;;
1;305;;;0;Melody;Melodic repeats;Melodic climax is repeated;in lower part;0;;Multiple culminations in lower voice;;;1;;;;47;13;1;;;;;;
1;12;;;100;Melody;Melodic repeats;Melodic climax is repeated;in upper part;0;;Multiple culminations in higher voice;;;1;;;;108;39;1;;;;21,78,79,193;;
1;70;;;50;Melody;Melodic repeats;Frequent return to the tonic;3 within 6;0;More than AA tonic notes within BB adjacent notes;AA tonic note equivalents within BB notes. Less weight is assigned to a tonic note in species 3,5 if all conditions meet:  There is no leap above M3 to this tonic note. This tonic note is not a local culmination. This tonic note is not longer than previous note. This tonic note is not downbeat. Tonic note length is less than half note.;9;;1;;;Many tonics;;;;;;;;;
1;71;;;50;Melody;Melodic repeats;Frequent return to the tonic;4 within 12;0;More than AA tonic notes within BB adjacent notes;AA tonic note equivalents within BB notes. Less weight is assigned to a tonic note in species 3,5 if all conditions meet:  There is no leap above M3 to this tonic note. This tonic note is not a local culmination. This tonic note is not longer than previous note. This tonic note is not downbeat. Tonic note length is less than half note.;9;;1;;;Many tonics;;;;;;;;;
1;348;;;50;Melody;Melodic repeats;Octave leap to the leading tone;/LT 8ve leap;0;;Octave leap between leading tones;5;;1;;;;2;2;1;;;;;;
1;10;;;0;Melody;Melodic repeats;Frequent return to the same note;>3 in 7 notes;-1;Same note repeats more than AA times within BB adjacent notes;;9;;1;;;Stagnation;39;1;;1;;;;;
1;39;;;50;Melody;Melodic repeats;Frequent return to the same note;>4 in 9 notes;0;Same note repeats more than AA times within BB adjacent notes;;9;;1;;;Stagnation;21;0;;;;;;;
1;344;;;0;Melody;Melodic repeats;Notes stagnation;5 notes <3 pitches;0;;AA consecutive notes use less than BB pitches;9;;1;;;Stagnation;17;0;;;;;;;
1;345;;;0;Melody;Melodic repeats;Notes stagnation;7 notes <4 pitches;0;;AA consecutive notes use less than BB pitches;9;;1;;;Stagnation;27;0;;;;;;;
1;346;;;0;Melody;Melodic repeats;Notes stagnation;17 notes <6 pitches;0;;AA consecutive notes use less than BB pitches;9;;1;;;Stagnation;3;0;;;;;;;
1;2;10;;50;Melody;Tritone;Tritone: adjacent;:resolved;0;Melodic adjacent tritone;Search 4 quarters for resolution if penultimate measure;13;;1;;;;8;2;1;;;;;;
1;31;10;;100;Melody;Tritone;Tritone: adjacent;:unresolved;0;Melodic adjacent tritone;;13;;1;;;;29;3;;;;;2;;
1;371;10;;0;Melody;Tritone;Audible tritone: framed;:resolved;0;Melodic tritone with one intermediate note, framed by two melody direction changes or leaps;;13;;1;;;;19;2;;;;;;;
