;;;;;;;77,11111111;27,38888889;0;1;15,22222222;1;1,135866667;3,479227778;2,430588889;2,768683333;4,7519;6,644061111;;;;;;0,663157895;0,336842105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time;Algorithm;Config;Midi;Voice;ID;High;Steps;Notes;Tonic;Minor;Range;Culminations;Decc_min;Decc_max;Decc_av;Maccr_min;Maccr_av;Maccr_max;Tonics;VI;VI#;VII;VII#;Smooth;Leaps;2leaps;3leaps;Leaped;Leaps_win;Leaped_win;Sum_int;Between_min;Between_max;Contra;Direct;Pico;Dis;Ico;Pco;Llen;Croches;Sus;Anti;to3;after3;dev2;dev3;uncomp_precomp;uncomp_child;Close+1far;Close+2far;Close+no;No+close;Far+close;No close
22.10.2017 8:24;GenCP1;cp5;good-cf-min;0;1;0;76;29;0;1;15;1;0,7033;3,6064;2,4246;2,4931;5,3;9,64;5;1;1;2;2;18;10;4;0;38;5;21;26;4;24;3;3;3;7;15;10;2,621;4;2;1;0;1;1;0;1;0;1;0;1;2;1;0
22.10.2017 8:24;GenCP1;cp5;good-cf-min;0;1;0;78;25;0;1;17;1;1,4501;3,5866;2,4944;2,2611;7,14;9,36;4;0;2;0;4;17;7;1;1;28;6;25;24;4;21;3;4;2;8;15;4;3,12;2;2;0;1;0;1;1;0;1;0;1;1;0;1;0
22.10.2017 8:25;GenCP1;cp5;good-cf-min;0;1;0;78;27;0;1;14;1;1,6877;3,5383;2,6388;2,1219;4,5017;7,53;4;1;0;5;0;18;8;2;1;35;5;21;19;0;19;6;1;0;4;12;13;2,889;2;2;0;1;2;0;0;1;1;1;1;0;1;1;0
22.10.2017 8:25;GenCP1;cp5;good-cf-min;0;1;0;78;27;0;1;17;1;1,3179;3,5211;2,4071;2,15;4,4425;8,04;5;3;0;1;2;18;8;1;0;34;6;26;24;7;20;5;2;2;6;12;11;2,889;4;2;0;4;1;2;1;0;0;1;1;0;0;1;0
22.10.2017 8:25;GenCP1;cp5;good-cf-min;0;1;0;78;25;0;1;17;1;1,4285;3,9008;2,4467;4,1494;5,83;6,89;3;2;0;3;1;16;8;2;0;37;5;26;24;6;22;6;1;0;6;14;7;3,12;2;2;0;1;0;1;0;1;0;1;0;0;1;2;0
22.10.2017 8:25;GenCP1;cp5;good-cf-min;0;1;0;78;29;0;1;17;1;0,9098;3,5844;2,4525;3,488;7,19;9,24;4;6;1;5;1;20;8;2;1;29;7;26;24;0;24;4;3;2;8;15;8;2,69;2;2;0;0;1;1;0;1;2;1;0;1;1;0;0
22.10.2017 8:25;GenCP1;cp5;good-cf-min;0;1;0;78;29;0;1;14;1;0,3374;2,3321;1,817;2,5846;3,7621;5,2;7;2;0;4;1;20;8;3;0;28;7;25;31;12;26;4;1;0;7;14;12;2,69;6;4;0;2;1;1;3;1;1;1;2;0;0;1;0
22.10.2017 8:25;GenCP1;cp5;good-cf-min;0;1;0;78;27;0;1;16;1;1,6672;3,2045;2,5902;3,7809;5,32;6,74;4;3;1;3;1;15;11;3;1;43;6;24;31;9;24;3;2;2;7;14;10;2,889;4;3;1;0;1;1;0;2;1;1;0;1;2;0;0
22.10.2017 8:25;GenCP1;cp5;good-cf-min;0;1;0;78;25;0;1;15;1;1,3301;3,9817;2,5742;2,4925;3,7199;4,8959;3;0;1;3;1;16;8;2;0;38;5;23;22;3;19;4;1;1;6;14;9;3,12;0;4;0;0;1;0;0;2;3;0;3;0;1;0;0
