Algorithm;Config;Voice;ID;High;Steps;Notes;Tonic;Minor;Range;Culminations;Decc_min;Decc_max;Decc_av;Maccr_min;Maccr_max;Maccr_av;Tonics;VI;VI#;VII;VII#;Smooth;Leaps;2leaps;3leaps;Leaped;Leaps_win;Leaped_win;Sum_int;Between_min;Between_max;Contra;Direct;Pico;Dis;Ico;Pco;Llen;Croches;Sus;Anti;to3;after3;dev2;dev3;uncomp_precomp;uncomp_child;Close+1far;Close+2far;Close+no;No+close;Far+close;No close
GenCP1;cp5;0;1;0;78;28;0;1;19;1;0,3374;3,8274;2,3716;3,4273;11,6;8,58;7;4;2;4;3;20;7;1;0;25;6;20;26;4;24;5;1;0;7;14;10;2,786;0;3;0;1;0;1;1;1;0;1;0;0;2;2;0
GenCP1;cp5;0;1;0;78;30;0;1;19;1;1,26;3,4094;2,4964;3,8032;5,91;4,4589;5;2;2;3;2;19;10;2;0;42;6;24;19;0;19;3;4;3;6;15;11;2,6;4;2;0;3;0;1;0;1;0;0;0;0;1;1;0
GenCP1;cp5;0;1;0;78;28;0;1;19;1;0,4433;3,405;2,2867;3,8281;11,47;8;6;3;1;3;3;19;8;2;0;31;6;24;26;6;24;5;2;1;6;16;8;2,786;0;2;0;0;1;1;0;2;0;2;1;0;1;0;0
GenCP1;cp5;0;1;0;78;30;0;1;13;1;2,221;4,1687;3,1824;2,1195;3,9623;3,0663;4;1;1;0;3;20;9;3;0;45;5;25;20;0;19;3;4;4;8;14;10;2,6;4;2;0;2;0;1;0;2;0;1;0;0;1;1;0
GenCP1;cp5;0;1;0;68;23;0;0;12;1;1,3678;2,8393;2,4656;3,5673;5,83;5,28;5;0;3;0;5;14;8;2;1;28;6;22;28;7;24;5;1;1;5;9;11;2,957;2;2;0;0;0;0;0;2;0;0;3;0;1;1;0
GenCP1;cp5;0;1;0;68;24;0;0;17;1;1,6186;5,23;2,7516;5,87;9,12;7,81;6;0;3;0;5;16;7;2;0;34;5;26;24;2;16;4;2;0;8;9;9;2,833;2;1;1;0;0;1;0;2;1;1;1;0;1;0;0
GenCP1;cp5;0;1;0;68;21;0;0;17;1;0,9276;3,9005;2,949;6,29;9,94;8;3;0;2;0;3;15;5;2;0;25;5;25;24;0;24;4;1;1;5;10;9;3,238;4;3;0;0;0;0;0;0;1;0;1;0;1;0;0
GenCP1;cp5;0;1;0;68;22;0;0;10;1;0,7029;2,5886;2,1996;3,3651;3,9662;3,7358;5;0;2;0;4;13;8;2;0;31;6;23;31;12;25;3;2;1;7;8;10;3,091;2;2;1;0;0;2;1;1;0;1;1;0;0;2;0
GenCP1;cp5;0;1;0;68;23;0;0;16;1;1,2466;4,7229;2,7464;2,4215;6,86;5,52;4;0;1;0;2;13;9;2;1;37;7;25;28;3;24;2;3;2;8;10;8;2,957;2;2;1;0;1;1;0;2;0;1;1;0;1;1;0
GenCP1;cp5;0;1;0;68;22;0;0;15;1;1,6435;4,0195;2,7242;4,51;6,93;6,13;4;0;2;0;5;15;6;1;0;33;3;17;24;3;21;5;2;0;7;10;6;3,091;2;1;0;1;0;0;0;0;2;0;0;0;1;0;0
GenCP1;cp5;0;1;0;68;24;0;0;13;1;1,2806;3,178;2,4804;2,6559;3,7274;3,168;4;0;2;0;1;16;7;2;1;28;5;22;24;7;24;4;2;1;6;12;8;2,833;4;1;1;1;0;2;0;1;1;2;0;1;0;0;0
GenCP1;cp5;0;1;0;68;25;0;0;16;1;1,3358;3,7926;2,4358;2,7427;6,59;4,7548;4;0;2;0;4;16;8;2;1;36;5;22;23;0;21;3;2;1;6;12;10;2,72;4;2;1;1;0;0;1;0;2;0;1;0;0;0;0
GenCP1;cp5;0;1;0;70;24;0;0;15;1;1,3187;3,3149;2,4565;2,6178;4,5724;3,8641;3;0;4;0;3;14;9;3;1;36;6;24;24;5;24;4;2;1;6;8;12;2,917;2;2;0;0;1;1;0;1;0;1;1;0;1;1;0
GenCP1;cp5;0;1;0;68;27;0;0;14;1;1,9672;4,1536;2,9549;2,0579;3,5953;3,026;4;0;4;0;2;17;9;2;0;42;6;26;21;0;16;6;1;0;6;13;9;2,519;4;1;0;1;0;2;1;1;1;1;0;0;1;2;0
GenCP1;cp5;0;1;0;68;20;0;0;16;1;1,538;4,2816;2,8013;6,54;9,29;8,69;3;0;2;0;1;12;7;2;0;33;5;26;28;3;24;2;2;1;6;10;8;3,4;2;3;1;3;0;1;0;1;0;0;0;0;0;0;0
GenCP1;cp5;0;1;0;70;27;0;0;15;1;0,9276;4,4157;3,2286;4,2153;8,52;5,81;7;0;4;0;5;21;5;1;0;29;4;25;26;7;24;5;2;0;7;11;10;2,593;6;1;0;1;0;0;0;0;0;0;0;0;0;1;0
GenCP1;cp5;0;1;0;70;27;0;0;16;1;1,5214;3,9353;2,6676;2,5031;4,3301;2,9916;5;0;1;0;4;19;7;2;0;31;5;23;23;3;19;3;3;1;7;9;13;2,593;6;2;0;2;1;1;0;2;0;0;1;0;1;1;0
GenCP1;cp5;0;1;0;70;27;0;0;17;1;0,4721;2,4452;2,0173;3,401;6,83;5,35;6;0;2;0;3;16;10;5;0;36;6;22;24;0;24;4;0;0;7;11;13;2,593;4;3;1;2;1;1;0;1;1;1;1;0;0;2;0
GenCP1;cp5;0;1;0;68;25;0;0;12;1;1,337;3,2347;2,2;2,2423;5,12;4,2679;6;0;2;0;6;17;7;2;0;28;5;22;19;2;16;4;2;1;7;13;7;2,72;4;2;0;0;0;1;0;0;0;0;0;0;0;0;0
GenCP1;cp5;0;1;0;68;20;0;0;12;1;1,4167;4,0781;2,4855;3,4365;7,3;4,7659;4;0;2;0;5;12;7;1;0;30;5;24;29;8;24;3;1;1;5;11;8;3,4;2;3;1;1;0;1;1;2;0;1;1;0;0;1;0
GenCP1;cp5;0;1;0;68;23;0;0;17;1;1,5067;4,3444;2,5807;4,5728;9,78;8,22;3;0;1;0;1;18;4;0;0;20;3;17;29;3;24;3;1;0;8;10;9;2,957;6;3;1;1;0;1;0;0;0;0;0;0;1;0;0
GenCP1;cp5;0;1;0;70;24;0;0;14;1;1,9205;3,3703;2,8018;3,5802;4,6055;3,8751;5;0;3;0;4;15;8;1;1;34;6;25;21;0;17;2;2;1;8;12;8;2,917;2;3;1;0;0;2;0;1;0;1;0;0;3;1;0
GenCP1;cp5;0;1;0;70;29;0;0;16;1;1,8357;3,5276;2,6669;2,9609;5,78;4,4069;4;0;1;0;6;20;8;2;0;42;5;26;23;0;21;4;2;0;7;11;13;2,414;6;2;0;4;0;1;0;0;2;1;0;0;0;1;0
GenCP1;cp5;0;1;0;70;26;0;0;14;1;1,1845;3,9001;2,5543;2,4253;4,0646;3,105;5;0;5;0;4;18;7;2;1;33;5;22;19;0;19;3;3;2;7;13;8;2,692;2;2;0;1;1;2;0;0;1;1;1;0;0;1;0
GenCP1;cp5;0;1;0;68;23;0;0;16;1;0,7471;4,3962;2,7331;3,5205;6;5,03;4;0;4;0;4;15;7;3;1;34;4;25;28;3;24;5;0;0;6;11;9;2,957;6;3;0;2;2;2;0;0;1;0;1;0;1;0;0
GenCP1;cp5;0;1;0;68;24;0;0;13;1;0,4186;3,3286;2,4589;2,9684;7,4;6,06;6;0;2;0;5;18;5;1;0;23;4;19;29;7;25;4;2;0;7;10;9;2,833;6;2;0;1;0;0;1;0;0;0;1;0;0;2;0
GenCP1;cp5;0;1;0;68;24;0;0;13;1;1,6584;2,5624;2,2887;2,9664;7,36;5,47;4;0;2;0;6;14;9;3;0;33;6;23;29;8;24;2;2;0;8;11;9;2,833;4;3;1;2;1;2;2;0;0;1;1;0;0;2;0
GenCA2;good-cp5;0;1;0;70;27;2;0;13;1;0,9115;4,0741;2,5229;4,3165;7,45;6,32;6;0;2;0;4;23;3;0;0;14;3;14;24;2;19;5;1;0;10;13;6;2,593;4;2;0;0;0;0;0;0;0;0;1;0;0;0;0
GenCA2;good-cp5;0;2;1;84;30;0;0;17;1;1,8187;3,9524;3,0425;2,6268;10,08;5,2;5;0;5;0;4;19;10;2;0;42;6;26;22;0;16;5;3;2;7;13;12;2,8;2;2;0;0;1;1;0;2;1;1;1;0;2;1;1
GenCA2;good-cp5;0;3;0;70;21;2;0;10;1;0,6686;2,3334;1,71;1,7563;2,6126;2,1765;6;0;3;0;6;18;2;0;0;7;2;7;29;15;23;2;4;2;5;10;8;3,333;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0
GenCA2;good-cp5;0;4;0;68;21;2;0;12;1;1,0183;3,6959;2,6961;3,485;6,41;4,3647;6;0;2;0;2;10;10;3;2;40;8;33;23;3;19;5;2;1;4;11;7;3,238;0;1;0;1;0;1;1;1;0;1;0;0;1;1;0
GenCA2;good-cp5;0;5;0;86;30;0;0;14;1;0,5408;3,3996;2,5452;2,4531;4,4345;3,3931;6;0;6;0;7;21;8;1;0;34;5;21;31;12;28;3;4;4;7;19;7;2,867;6;3;0;1;1;1;0;0;1;0;0;1;0;2;1
GenCA2;good-cp5;0;6;0;70;29;2;0;12;1;0,8181;2,6918;1,8959;2,2418;4,9787;3,8605;3;0;4;0;3;23;5;0;0;19;4;16;26;5;24;4;4;3;8;12;9;2,414;2;0;0;0;1;3;0;1;0;2;0;0;0;0;1
GenCA2;good-cp5;0;7;0;86;31;0;0;14;1;0,5408;3,3996;2,6084;1,581;4,3962;3,2627;6;0;6;0;7;21;9;1;0;37;6;24;31;12;28;4;3;3;7;19;8;2,774;6;3;0;1;1;1;0;0;1;0;0;1;0;3;1
GenCA2;good-cp5;0;8;1;84;29;0;0;16;1;1,8187;3,9524;2,9646;2,6268;9,17;4,9815;5;0;4;0;3;20;8;1;0;35;5;22;21;0;16;4;4;2;7;12;12;2,897;2;2;0;0;0;1;0;2;0;1;0;0;1;0;1
GenCA2;good-cp5;0;9;0;84;25;9;1;15;1;0,3967;4,0249;2,5344;4,4892;9,12;6,56;6;2;0;2;1;16;8;2;0;35;6;27;27;9;24;3;1;1;7;14;10;3,36;2;6;0;1;1;0;0;0;0;0;0;0;2;1;0
GenCA2;good-cp5;0;10;1;70;25;2;0;14;1;1,692;3,7967;2,8478;4,4501;7,67;5,89;5;0;3;0;4;17;7;1;0;27;6;21;21;0;17;3;3;2;8;11;8;2,8;2;2;0;0;0;1;0;2;0;0;0;0;1;1;1
GenCA2;good-cp5;0;11;1;68;23;2;0;17;1;1,6449;3,5213;2,6825;5,27;8,88;6,54;5;0;2;0;2;17;5;0;0;24;3;17;26;5;19;4;4;1;7;9;7;2,957;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0
GenCA2;good-cp5;0;12;0;68;17;2;0;15;1;1,0244;2,6431;1,9359;7,68;12,17;9,65;4;0;2;0;4;11;5;0;0;17;5;17;26;9;24;4;1;1;3;9;8;4;2;3;0;0;0;1;0;0;0;0;0;0;0;0;1
GenCA2;good-cp5;0;13;0;68;23;2;0;14;1;1,2001;2,9163;2,6014;3,8258;6,7;5,8;3;0;4;0;4;18;4;0;0;17;3;13;28;9;24;5;3;2;6;10;7;2,957;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0
GenCA2;good-cp5;0;14;0;70;22;0;1;11;1;1,2872;3,2762;2,1199;3,2355;4,5275;4,3017;4;2;1;2;1;17;4;0;0;17;3;14;31;12;28;4;3;3;4;10;9;3,182;4;1;0;0;0;0;0;4;0;0;1;0;0;1;1
GenCA2;good-cp5;0;15;0;68;20;0;1;14;1;0,5408;3,1406;2,0284;6,19;8,61;8,06;4;2;1;1;2;15;4;0;0;13;4;13;26;7;24;4;0;0;6;10;8;3,4;4;4;0;0;0;1;1;1;0;0;0;1;1;1;0
